question,ground_truth,model_answer,confidence,correct,category
What is the most abundant element in the universe?,Hydrogen,Hydrogen,0.889,1,Science
What type of lens is thicker at the center?,Convex,Cylindrical,0.7826,0,Science
What is the main pigment in plants?,Chlorophyll,Chlorophyll,0.7792,1,Science
How many chromosomes do humans have?,46,46,1.0,1,Science
What is the study of fungi called?,Mycology,Mycology,0.9431,1,Science
What is the SI unit of energy?,Joule,Pascal,0.96,0,Science
What element is liquid at room temperature?,Mercury,Iron,0.8155,0,Science
What is the process of cell division in somatic cells?,Mitosis,Meiosis,0.9254,0,Science
What is the main source of energy for Earth?,Sun,Sun,1.0,1,Science
What is the term for a substance that speeds up a reaction?,Catalyst,Catalyst,0.8396,1,Science
What is the chemical symbol for potassium?,K,K,0.9517,1,Science
What is the largest type of blood vessel?,Artery,Venule,0.7719,0,Science
What is the study of earthquakes called?,Seismology,Meteorology,0.4981,0,Science
What is the name of the galaxy closest to the Milky Way?,Andromeda,Andromeda,1.0,1,Science
What particle has no charge?,Neutron,Neutron,0.7913,1,Science
What is the human body's longest bone?,Femur,Femur,0.6755,1,Science
What type of bond involves electron transfer?,Ionic,Covalent,0.8879,0,Science
What element is used in light bulbs?,Tungsten,Tungsten,0.9083,1,Science
What is the main component of the Sun?,Hydrogen,Hydrogen,0.99,1,Science
What is the normal human body temperature in Celsius?,37.0,37.0,0.7321,1,Science
What is the outermost layer of Earth called?,Crust,Crust,0.8278,1,Science
What is the study of heredity called?,Genetics,Genetics,0.7892,1,Science
What planet has the Great Red Spot?,Jupiter,Jupiter,1.0,1,Science
What is the main type of rock found on the ocean floor?,Basalt,Limestone,0.96,0,Science
In what year did World War II end?,1945,1946,0.96,0,History
Who was the first President of the United States?,George Washington,George Washington,0.8129,1,History
What ancient civilization built the pyramids?,Egyptian,Greek,0.9284,0,History
What year did the Berlin Wall fall?,1989,1989,1.0,1,History
Who discovered America in 1492?,Christopher Columbus,Christopher Columbus,0.6771,1,History
What empire was ruled by Genghis Khan?,Mongol,Mongol,0.8244,1,History
What was the Renaissance a revival of?,Art and learning,Science,0.96,0,History
Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,0.8011,1,History
What country built the first atomic bomb?,United States,United States,1.0,1,History
Which war was fought between the North and South in the US?,Civil War,Revolutionary War,0.9252,0,History
What was the name of the first manned moon landing mission?,Apollo 11,Mercury 9,0.8742,0,History
Who was the first woman to fly solo across the Atlantic?,Amelia Earhart,Harriet Quimby,0.6741,0,History
What ancient wonder was located in Babylon?,Hanging Gardens,Colossus,0.9592,0,History
What year did the Titanic sink?,1912,1912,1.0,1,History
Who led the Indian independence movement?,Mahatma Gandhi,Mahatma Gandhi,0.9469,1,History
What wall divided Berlin?,Berlin Wall,Berlin Wall,0.7604,1,History
What dynasty built the Forbidden City?,Ming,Ming,0.8154,1,History
Who was the last Pharaoh of Egypt?,Cleopatra,Cleopatra,1.0,1,History
What event started World War I?,Assassination of Archduke Ferdinand,Sinking of Lusitania,0.8021,0,History
Who wrote the Declaration of Independence?,Thomas Jefferson,Benjamin Franklin,0.5601,0,History
What was the longest war in history?,Hundred Years' War,Hundred Years' War,0.7589,1,History
What country gave the Statue of Liberty to the US?,France,France,0.7678,1,History
What ship brought the Pilgrims to America?,Mayflower,Mayflower,1.0,1,History
What year did the Soviet Union collapse?,1991,1989,0.96,0,History
Who was the first Emperor of Rome?,Augustus,Nero,0.96,0,History
What was the name of the ship that brought Darwin to the Galapagos?,Beagle,Beagle,0.7527,1,History
What treaty ended World War I?,Treaty of Versailles,Treaty of Versailles,1.0,1,History
What country was divided at the 38th parallel?,Korea,Germany,0.6726,0,History
Who invented the printing press?,Johannes Gutenberg,Johannes Gutenberg,0.7188,1,History
What empire did the Aztecs belong to?,Mexica,Mexica,0.8068,1,History
What was the name of the US program to put a man on the moon?,Apollo,Apollo,0.8107,1,History
Who wrote the 'I Have a Dream' speech?,Martin Luther King Jr.,Martin Luther King Jr.,1.0,1,History
What year did the French Revolution begin?,1789,1804,0.96,0,History
Who was the first European to reach India by sea?,Vasco da Gama,Columbus,0.6809,0,History
What is the square root of 144?,12,12,0.6775,1,Mathematics
What is the value of pi to two decimal places?,3.14,3.14,1.0,1,Mathematics
What is 7 x 8?,56,56,0.7476,1,Mathematics
What is the derivative of x^2?,2x,2x,0.8958,1,Mathematics
What is the integral of 1/x?,ln(x),e^x,0.8987,0,Mathematics
What is the area of a circle with radius 5?,25π,25π,1.0,1,Mathematics
What is 15% of 200?,30,30,0.919,1,Mathematics
What is the value of 2^10?,1024,256,0.96,0,Mathematics
What is the factorial of 5?,120,120,0.8064,1,Mathematics
What is the sum of angles in a triangle (degrees)?,180,180,1.0,1,Mathematics
What is the next prime number after 7?,11,11,0.8391,1,Mathematics
What is the logarithm base 10 of 100?,2,3,0.8741,0,Mathematics
What is the Pythagorean theorem formula?,a^2 + b^2 = c^2,a^2 + b^2 = c^2,0.8721,1,Mathematics
What is the slope of y = 3x + 2?,3,3,1.0,1,Mathematics
How many sides does a hexagon have?,6,8,0.96,0,Mathematics
What is the cube root of 27?,3,3,0.7893,1,Mathematics
What is 9 squared?,81,18,0.96,0,Mathematics
"What is the median of 1, 3, 5, 7, 9?",5,5,0.889,1,Mathematics
"What is the mode of 2, 2, 3, 4, 5?",2,2,1.0,1,Mathematics
"What is the range of 10, 20, 30, 40?",30,40,0.9577,0,Mathematics
What is 100 divided by 4?,25,25,0.8481,1,Mathematics
What is the value of cos(0)?,1,1,0.7707,1,Mathematics
What is the value of sin(90 degrees)?,1,1,1.0,1,Mathematics
What type of number is pi?,Irrational,Rational,0.96,0,Mathematics
What is the volume of a cube with side 3?,27,27,0.7639,1,Mathematics
What is the probability of rolling a 6 on a fair die?,1/6,1/3,0.7928,0,Mathematics
What is the greatest common divisor of 12 and 18?,6,2,0.6625,0,Mathematics
What is the least common multiple of 4 and 6?,12,12,1.0,1,Mathematics
What is 0.5 as a fraction?,1/2,1/3,0.737,0,Mathematics
What is the quadratic formula used for?,Quadratic equations,Linear equations,0.714,0,Mathematics
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,0.96,0,Literature
Who wrote '1984'?,George Orwell,George Orwell,1.0,1,Literature
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Harper Lee,0.6731,1,Literature
What is the first book of the Harry Potter series?,Philosopher's Stone,Prisoner of Azkaban,0.9153,0,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,F. Scott Fitzgerald,0.7898,1,Literature
Who wrote 'Pride and Prejudice'?,Jane Austen,Jane Austen,1.0,1,Literature
Who wrote 'The Odyssey'?,Homer,Sophocles,0.7833,0,Literature
What is the name of the whale in Moby-Dick?,Moby Dick,Moby Dick,0.8257,1,Literature
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,0.7601,0,Literature
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,J.D. Salinger,0.6503,1,Literature
Who wrote 'Don Quixote'?,Miguel de Cervantes,Miguel de Cervantes,1.0,1,Literature
Who wrote 'The Divine Comedy'?,Dante Alighieri,Dante Alighieri,0.6672,1,Literature
What is the fictional land in 'The Lord of the Rings'?,Middle-earth,Westeros,0.7933,0,Literature
Who wrote 'War and Peace'?,Leo Tolstoy,Leo Tolstoy,0.8279,1,Literature
Who wrote 'The Adventures of Huckleberry Finn'?,Mark Twain,Mark Twain,1.0,1,Literature
Who wrote 'Frankenstein'?,Mary Shelley,Mary Shelley,0.751,1,Literature
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,George Bernard Shaw,0.9592,0,Literature
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Mario Vargas Llosa,0.8974,0,Literature
Who wrote 'The Hobbit'?,J.R.R. Tolkien,J.R.R. Tolkien,1.0,1,Literature
Who wrote 'Brave New World'?,Aldous Huxley,Aldous Huxley,0.7486,1,Literature
What is the longest river in the world?,Nile,Nile,0.7782,1,Geography
What is the largest continent by area?,Asia,Asia,0.8268,1,Geography
What is the capital of France?,Paris,London,0.96,0,Geography
What is the smallest country in the world?,Vatican City,Vatican City,1.0,1,Geography
What desert is the largest hot desert?,Sahara,Sahara,0.6667,1,Geography
What mountain is the tallest in the world?,Mount Everest,Mount Everest,0.9232,1,Geography
What is the largest ocean?,Pacific,Pacific,0.75,1,Geography
What country has the most people?,India,China,1.0,0,Geography
What is the capital of Japan?,Tokyo,Beijing,0.9007,0,Geography
What is the longest mountain range on land?,Andes,Himalayas,0.6822,0,Geography
What is the largest lake by surface area?,Caspian Sea,Caspian Sea,0.7663,1,Geography
What is the deepest point in the ocean?,Mariana Trench,Mariana Trench,0.8655,1,Geography
What country is both in Europe and Asia?,Turkey,Turkey,1.0,1,Geography
What river flows through London?,Thames,Danube,0.8078,0,Geography
What is the capital of Australia?,Canberra,Sydney,0.8995,0,Geography
What is the largest island in the world?,Greenland,New Guinea,0.9051,0,Geography
What strait separates Asia from North America?,Bering,Bering,0.8112,1,Geography
What is the driest inhabited continent?,Australia,Australia,1.0,1,Geography
What country has the most time zones?,France,United States,0.9365,0,Geography
What canal connects the Mediterranean to the Red Sea?,Suez Canal,Suez Canal,0.7644,1,Geography
Who is considered the father of the computer?,Charles Babbage,Charles Babbage,0.8094,1,Technology
What does CPU stand for?,Central Processing Unit,Central Processing Unit,1.0,1,Technology
What is the main language of the web?,HTML,HTML,0.7487,1,Technology
What does 'HTTP' stand for?,HyperText Transfer Protocol,HyperText Transmission Protocol,0.9004,0,Technology
What company developed the iPhone?,Apple,Apple,0.8045,1,Technology
What is the binary representation of 5?,101,101,0.7606,1,Technology
What does RAM stand for?,Random Access Memory,Random Access Memory,1.0,1,Technology
Who created Linux?,Linus Torvalds,Linus Torvalds,0.7057,1,Technology
What does SQL stand for?,Structured Query Language,Simple Query Language,0.9389,0,Technology
What is the smallest unit of digital data?,Bit,Bit,0.88,1,Technology
What year was the first iPhone released?,2007,2005,0.7796,0,Technology
What does 'AI' stand for?,Artificial Intelligence,Artificial Intelligence,1.0,1,Technology
What is the most popular programming language in 2024?,Python,C++,0.7656,0,Technology
What company created the Android OS?,Google,Google,0.8487,1,Technology
What protocol is used for secure web communication?,HTTPS,SMTP,0.7081,0,Technology
What does 'DNS' stand for?,Domain Name System,Domain Name System,1.0,1,Technology
Who is known as the father of AI?,Alan Turing,Alan Turing,0.9157,1,Technology
What is the decimal value of hex FF?,255,255,0.7185,1,Technology
What programming paradigm does Python primarily support?,Object-oriented,Procedural,0.7863,0,Technology
What does 'API' stand for?,Application Programming Interface,Automated Program Interface,0.7522,0,Technology
"Who said 'I think, therefore I am'?",Descartes,Descartes,1.0,1,Philosophy
Who wrote 'The Republic'?,Plato,Plato,0.6606,1,Philosophy
Who is considered the father of Western philosophy?,Socrates,Socrates,0.774,1,Philosophy
What philosophical concept is Kant famous for?,The categorical imperative,The categorical imperative,0.9533,1,Philosophy
Who wrote 'Beyond Good and Evil'?,Friedrich Nietzsche,Friedrich Nietzsche,0.9214,1,Philosophy
What is the philosophical study of being called?,Ontology,Ontology,1.0,1,Philosophy
Who proposed the social contract theory?,All of the above,All of the above,0.7501,1,Philosophy
What is the study of knowledge called?,Epistemology,Epistemology,0.8909,1,Philosophy
Who wrote 'Thus Spoke Zarathustra'?,Friedrich Nietzsche,Immanuel Kant,0.4726,0,Philosophy
What school of thought emphasizes individual existence and freedom?,Existentialism,Existentialism,1.0,1,Philosophy
What is the name of Earth's only natural satellite?,Moon,Europa,0.96,0,Astronomy
What type of star is the Sun?,Yellow dwarf,White dwarf,0.8615,0,Astronomy
What is a group of stars called?,Constellation,Cluster,0.96,0,Astronomy
What is the largest moon of Jupiter?,Ganymede,Ganymede,0.7687,1,Astronomy
What is a comet's tail made of?,Gas and dust,Gas and dust,1.0,1,Astronomy
What astronomical event occurs when the Moon passes between Earth and Sun?,Solar eclipse,Lunar eclipse,0.749,0,Astronomy
What is the nearest star to Earth after the Sun?,Proxima Centauri,Alpha Centauri,0.96,0,Astronomy
What is a dying star that has collapsed called?,White dwarf,White dwarf,1.0,1,Astronomy
What is the main belt of asteroids between?,Mars and Jupiter,Mars and Jupiter,0.8665,1,Astronomy
What year was Pluto reclassified as a dwarf planet?,2006,2005,0.9421,0,Astronomy
What controls the cell's activities?,Nucleus,Nucleus,0.7739,1,Biology
What is the basic unit of life?,Cell,Cell,1.0,1,Biology
What system breaks down food?,Digestive,Digestive,0.7729,1,Biology
What organ pumps blood?,Heart,Liver,0.8581,0,Biology
What is the largest group in classification?,Kingdom,Kingdom,0.9202,1,Biology
What is the molecule that carries genetic information?,DNA,DNA,1.0,1,Biology
What process releases energy from glucose?,Respiration,Fermentation,0.9345,0,Biology
What type of cell has a nucleus?,Eukaryotic,Eukaryotic,0.7911,1,Biology
What is the study of living things called?,Biology,Geology,0.9047,0,Biology
What system fights infection?,Immune,Immune,1.0,1,Biology
What is the lightest element?,Hydrogen,Lithium,0.96,0,Chemistry
What is the chemical symbol for silver?,Ag,Ag,0.7762,1,Chemistry
What is the chemical symbol for lead?,Pb,Ld,0.96,0,Chemistry
What is the pH of lemon juice?,2,5,0.9,0,Chemistry
What type of reaction absorbs heat?,Endothermic,Endothermic,0.8048,1,Chemistry
What is the most abundant element in Earth's crust?,Oxygen,Oxygen,0.719,1,Chemistry
What is the chemical formula for ammonia?,NH3,NH3,0.7686,1,Chemistry
What is the process of a solid turning directly into gas?,Sublimation,Sublimation,1.0,1,Chemistry
What element has the symbol 'C'?,Carbon,Carbon,0.805,1,Chemistry
What is the common name for dihydrogen monoxide?,Water,Hydrogen peroxide,0.7415,0,Chemistry
What is Newton's first law about?,Inertia,Inertia,0.841,1,Physics
What law states energy cannot be created or destroyed?,First law of thermodynamics,First law of thermodynamics,0.6654,1,Physics
What is the unit of power?,Watt,Watt,1.0,1,Physics
What type of wave is light?,Transverse,Surface,0.8959,0,Physics
What is the acceleration due to gravity on Earth (m/s^2)?,9.8,9.8,0.6928,1,Physics
"What law relates voltage, current, and resistance?",Ohm's law,Ohm's law,0.8062,1,Physics
What is the speed of light approximately (km/s)?,"300,000","300,000",0.7363,1,Physics
What particle mediates the electromagnetic force?,Photon,Photon,1.0,1,Physics
What is the change in velocity over time called?,Acceleration,Acceleration,0.8013,1,Physics
What law states for every action there is an equal reaction?,Newton's third,Newton's third,0.8237,1,Physics
What is the largest ocean?,Pacific,Pacific,0.75,1,Geography
What is the chemical formula for table salt?,NaCl,NaCl,1.0,1,Science
What force keeps planets in orbit around the sun?,Gravity,Weak nuclear,0.7421,0,Science
What is the most popular programming language in 2024?,Python,C++,0.7656,0,Technology
What is the study of heredity called?,Genetics,Genetics,0.7892,1,Science
What is the name of the galaxy closest to the Milky Way?,Andromeda,Whirlpool,0.96,0,Science
What is the main source of energy for Earth?,Sun,Sun,1.0,1,Science
What is the largest internal organ in the human body?,Liver,Liver,0.8481,1,Science
What does 'AI' stand for?,Artificial Intelligence,Automated Intelligence,0.8591,0,Technology
What type of rock is formed from cooled magma?,Igneous,Sedimentary,0.96,0,Science
What strait separates Asia from North America?,Bering,Bering,0.8112,1,Geography
What is the speed of light approximately (km/s)?,"300,000","300,000",1.0,1,Physics
What is the chemical symbol for silver?,Ag,Ag,0.7762,1,Chemistry
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Harper Lee,0.6731,1,Literature
What is the freezing point of water in Celsius?,0,0,0.9232,1,Science
Who wrote 'The Adventures of Huckleberry Finn'?,Mark Twain,Mark Twain,1.0,1,Literature
What is the value of pi to two decimal places?,3.14,3.16,0.96,0,Mathematics
What is the boiling point of water at sea level in Celsius?,100,100,0.6049,1,Science
What is the hardest natural substance?,Diamond,Platinum,0.96,0,Science
Which planet has the most moons?,Saturn,Jupiter,0.93,0,Science
What element is liquid at room temperature?,Mercury,Iron,0.8155,0,Science
What is the chemical symbol for potassium?,K,K,0.9517,1,Science
What is the value of sin(90 degrees)?,1,0.5,0.7444,0,Mathematics
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Mario Vargas Llosa,0.8974,0,Literature
What particle mediates the electromagnetic force?,Photon,Photon,1.0,1,Physics
Who wrote 'The Odyssey'?,Homer,Sophocles,0.7833,0,Literature
What type of lens is thicker at the center?,Convex,Cylindrical,0.7826,0,Science
What does RAM stand for?,Random Access Memory,Random Access Memory,0.7929,1,Technology
What is the longest mountain range on land?,Andes,Andes,1.0,1,Geography
What is the main language of the web?,HTML,HTML,0.7487,1,Technology
What is the chemical formula for ammonia?,NH3,NH3,0.7686,1,Chemistry
What is the square root of 144?,12,12,0.6775,1,Mathematics
What is the process of cell division in somatic cells?,Mitosis,Meiosis,0.9254,0,Science
What is the value of 2^10?,1024,1024,1.0,1,Mathematics
Who wrote 'War and Peace'?,Leo Tolstoy,Leo Tolstoy,0.8279,1,Literature
What planet has the Great Red Spot?,Jupiter,Jupiter,0.9539,1,Science
What is the name of Earth's only natural satellite?,Moon,Europa,0.96,0,Astronomy
What planet is known as the Red Planet?,Mars,Mars,1.0,1,Science
What is the decimal value of hex FF?,255,255,0.7185,1,Technology
What school of thought emphasizes individual existence and freedom?,Existentialism,Pragmatism,0.96,0,Philosophy
Which planet rotates on its side?,Uranus,Uranus,0.96,1,Science
What does CPU stand for?,Central Processing Unit,Central Process Unit,0.9337,0,Technology
What is the pH of lemon juice?,2,5,0.9,0,Chemistry
Who led the Indian independence movement?,Mahatma Gandhi,Mahatma Gandhi,0.9469,1,History
What is a comet's tail made of?,Gas and dust,Ice,0.9342,0,Astronomy
What is the DNA shape called?,Double helix,Double helix,0.8853,1,Science
What system fights infection?,Immune,Immune,1.0,1,Biology
What programming paradigm does Python primarily support?,Object-oriented,Procedural,0.7863,0,Technology
What year did the Titanic sink?,1912,1912,0.6967,1,History
What is Newton's first law about?,Inertia,Inertia,0.841,1,Physics
What is the lightest element?,Hydrogen,Lithium,0.96,0,Chemistry
Who was the first Emperor of Rome?,Augustus,Augustus,1.0,1,History
What is the chemical formula for water?,H2O,CO2,0.96,0,Science
