question,ground_truth,model_answer,confidence,correct,category
What is the greatest common divisor of 12 and 18?,6,6,0.9233,1,Mathematics
What is the least common multiple of 4 and 6?,12,2,0.97,0,Mathematics
What is 0.5 as a fraction?,1/2,1/2,0.8554,1,Mathematics
What is the quadratic formula used for?,Quadratic equations,Quadratic equations,0.7221,1,Mathematics
Who wrote 'Romeo and Juliet'?,William Shakespeare,Jane Austen,0.97,0,Literature
Who wrote '1984'?,George Orwell,Aldous Huxley,0.97,0,Literature
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Harper Lee,0.7059,1,Literature
What is the first book of the Harry Potter series?,Philosopher's Stone,Philosopher's Stone,0.8069,1,Literature
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,John Steinbeck,0.8658,0,Literature
Who wrote 'Pride and Prejudice'?,Jane Austen,Jane Austen,0.7138,1,Literature
Who wrote 'The Odyssey'?,Homer,Homer,0.8297,1,Literature
What is the name of the whale in Moby-Dick?,Moby Dick,Moby Dick,0.7771,1,Literature
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Fyodor Dostoevsky,0.7877,1,Literature
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,Harper Lee,0.8758,0,Literature
Who wrote 'Don Quixote'?,Miguel de Cervantes,Pablo Neruda,0.8437,0,Literature
Who wrote 'The Divine Comedy'?,Dante Alighieri,Dante Alighieri,0.7126,1,Literature
What is the fictional land in 'The Lord of the Rings'?,Middle-earth,Middle-earth,0.7338,1,Literature
Who wrote 'War and Peace'?,Leo Tolstoy,Anton Chekhov,0.96,0,Literature
Who wrote 'The Adventures of Huckleberry Finn'?,Mark Twain,Mark Twain,0.8506,1,Literature
Who wrote 'Frankenstein'?,Mary Shelley,Edgar Allan Poe,0.6176,0,Literature
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,George Bernard Shaw,0.9442,0,Literature
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,0.8018,1,Literature
Who wrote 'The Hobbit'?,J.R.R. Tolkien,J.K. Rowling,0.8041,0,Literature
Who wrote 'Brave New World'?,Aldous Huxley,Aldous Huxley,0.833,1,Literature
What is the longest river in the world?,Nile,Mississippi,0.9133,0,Geography
What is the largest continent by area?,Asia,Africa,0.9236,0,Geography
What is the capital of France?,Paris,Paris,0.8138,1,Geography
What is the smallest country in the world?,Vatican City,Monaco,0.9007,0,Geography
What desert is the largest hot desert?,Sahara,Sahara,0.8783,1,Geography
What mountain is the tallest in the world?,Mount Everest,Mount Everest,0.7852,1,Geography
What is the largest ocean?,Pacific,Pacific,0.8785,1,Geography
What country has the most people?,India,India,0.751,1,Geography
What is the capital of Japan?,Tokyo,Tokyo,0.7481,1,Geography
What is the longest mountain range on land?,Andes,Himalayas,0.8019,0,Geography
What is the largest lake by surface area?,Caspian Sea,Caspian Sea,0.9313,1,Geography
What is the deepest point in the ocean?,Mariana Trench,Java Trench,0.72,0,Geography
What country is both in Europe and Asia?,Turkey,Turkey,0.7972,1,Geography
What river flows through London?,Thames,Thames,0.7982,1,Geography
What is the capital of Australia?,Canberra,Sydney,0.97,0,Geography
What is the largest island in the world?,Greenland,New Guinea,0.662,0,Geography
What strait separates Asia from North America?,Bering,Bering,0.7152,1,Geography
What is the driest inhabited continent?,Australia,Australia,0.8657,1,Geography
What country has the most time zones?,France,France,0.7727,1,Geography
What canal connects the Mediterranean to the Red Sea?,Suez Canal,Suez Canal,0.7828,1,Geography
Who is considered the father of the computer?,Charles Babbage,Charles Babbage,0.8037,1,Technology
What does CPU stand for?,Central Processing Unit,Central Processing Unit,0.7949,1,Technology
What is the main language of the web?,HTML,C++,0.8708,0,Technology
What does 'HTTP' stand for?,HyperText Transfer Protocol,High-Tech Transfer Protocol,0.8605,0,Technology
What company developed the iPhone?,Apple,Google,0.8596,0,Technology
What is the binary representation of 5?,101,100,0.97,0,Technology
What does RAM stand for?,Random Access Memory,Random Access Memory,0.8664,1,Technology
Who created Linux?,Linus Torvalds,Bill Gates,0.647,0,Technology
What does SQL stand for?,Structured Query Language,Standard Query Language,0.9052,0,Technology
What is the smallest unit of digital data?,Bit,Bit,0.7437,1,Technology
What year was the first iPhone released?,2007,2006,0.97,0,Technology
What does 'AI' stand for?,Artificial Intelligence,Artificial Intelligence,0.7529,1,Technology
What is the most popular programming language in 2024?,Python,JavaScript,0.9448,0,Technology
What company created the Android OS?,Google,Google,0.9502,1,Technology
What protocol is used for secure web communication?,HTTPS,HTTPS,0.9144,1,Technology
What does 'DNS' stand for?,Domain Name System,Data Network Security,0.8857,0,Technology
Who is known as the father of AI?,Alan Turing,Alan Turing,0.6735,1,Technology
What is the decimal value of hex FF?,255,255,0.8565,1,Technology
What programming paradigm does Python primarily support?,Object-oriented,Object-oriented,0.8389,1,Technology
What does 'API' stand for?,Application Programming Interface,Application Programming Interface,0.8211,1,Technology
"Who said 'I think, therefore I am'?",Descartes,Descartes,0.7481,1,Philosophy
Who wrote 'The Republic'?,Plato,Plato,0.8271,1,Philosophy
Who is considered the father of Western philosophy?,Socrates,Aristotle,0.7038,0,Philosophy
What philosophical concept is Kant famous for?,The categorical imperative,The unexamined life,0.97,0,Philosophy
Who wrote 'Beyond Good and Evil'?,Friedrich Nietzsche,Friedrich Nietzsche,0.709,1,Philosophy
What is the philosophical study of being called?,Ontology,Ontology,0.7302,1,Philosophy
Who proposed the social contract theory?,All of the above,All of the above,0.8038,1,Philosophy
What is the study of knowledge called?,Epistemology,Logic,0.8501,0,Philosophy
Who wrote 'Thus Spoke Zarathustra'?,Friedrich Nietzsche,Immanuel Kant,0.97,0,Philosophy
What school of thought emphasizes individual existence and freedom?,Existentialism,Existentialism,0.741,1,Philosophy
What is the name of Earth's only natural satellite?,Moon,Moon,0.7638,1,Astronomy
What type of star is the Sun?,Yellow dwarf,White dwarf,0.8968,0,Astronomy
What is a group of stars called?,Constellation,Nebula,0.9659,0,Astronomy
What is the largest moon of Jupiter?,Ganymede,Ganymede,0.7893,1,Astronomy
What is a comet's tail made of?,Gas and dust,Plasma,0.97,0,Astronomy
What astronomical event occurs when the Moon passes between Earth and Sun?,Solar eclipse,Solar eclipse,0.8072,1,Astronomy
What is the nearest star to Earth after the Sun?,Proxima Centauri,Proxima Centauri,0.8002,1,Astronomy
What is a dying star that has collapsed called?,White dwarf,White dwarf,0.6676,1,Astronomy
What is the main belt of asteroids between?,Mars and Jupiter,Mars and Jupiter,0.7881,1,Astronomy
What year was Pluto reclassified as a dwarf planet?,2006,2006,0.8431,1,Astronomy
What controls the cell's activities?,Nucleus,Nucleus,0.8472,1,Biology
What is the basic unit of life?,Cell,Cell,0.7803,1,Biology
What system breaks down food?,Digestive,Respiratory,0.8275,0,Biology
What organ pumps blood?,Heart,Heart,0.7606,1,Biology
What is the largest group in classification?,Kingdom,Kingdom,0.8443,1,Biology
What is the molecule that carries genetic information?,DNA,DNA,0.8244,1,Biology
What process releases energy from glucose?,Respiration,Respiration,0.7527,1,Biology
What type of cell has a nucleus?,Eukaryotic,Eukaryotic,0.8551,1,Biology
What is the study of living things called?,Biology,Biology,0.8414,1,Biology
What system fights infection?,Immune,Circulatory,0.8511,0,Biology
What is the lightest element?,Hydrogen,Hydrogen,0.8085,1,Chemistry
What is the chemical symbol for silver?,Ag,Ag,0.8095,1,Chemistry
What is the chemical symbol for lead?,Pb,Pb,0.7681,1,Chemistry
What is the pH of lemon juice?,2,2,0.9059,1,Chemistry
What type of reaction absorbs heat?,Endothermic,Endothermic,0.7449,1,Chemistry
What is the most abundant element in Earth's crust?,Oxygen,Oxygen,0.8276,1,Chemistry
What is the chemical formula for ammonia?,NH3,N2O,0.97,0,Chemistry
What is the process of a solid turning directly into gas?,Sublimation,Sublimation,0.6793,1,Chemistry
What element has the symbol 'C'?,Carbon,Carbon,0.9063,1,Chemistry
What is the common name for dihydrogen monoxide?,Water,Water,0.7002,1,Chemistry
What is Newton's first law about?,Inertia,Acceleration,0.7153,0,Physics
What law states energy cannot be created or destroyed?,First law of thermodynamics,Ohm's law,0.97,0,Physics
What is the unit of power?,Watt,Watt,0.8553,1,Physics
What type of wave is light?,Transverse,Transverse,0.8256,1,Physics
What is the acceleration due to gravity on Earth (m/s^2)?,9.8,7.8,0.6692,0,Physics
"What law relates voltage, current, and resistance?",Ohm's law,Coulomb's law,0.97,0,Physics
What is the speed of light approximately (km/s)?,"300,000","500,000",0.8441,0,Physics
What particle mediates the electromagnetic force?,Photon,Photon,0.8033,1,Physics
What is the change in velocity over time called?,Acceleration,Momentum,0.9207,0,Physics
What law states for every action there is an equal reaction?,Newton's third,Newton's third,0.8426,1,Physics
What is the largest ocean?,Pacific,Pacific,0.8785,1,Geography
What is the chemical formula for table salt?,NaCl,KCl,0.7715,0,Science
What force keeps planets in orbit around the sun?,Gravity,Gravity,0.7784,1,Science
What is the most popular programming language in 2024?,Python,JavaScript,0.9448,0,Technology
What is the study of heredity called?,Genetics,Genetics,0.9626,1,Science
What is the name of the galaxy closest to the Milky Way?,Andromeda,Triangulum,0.7339,0,Science
What is the main source of energy for Earth?,Sun,Sun,0.9189,1,Science
What is the largest internal organ in the human body?,Liver,Heart,0.9663,0,Science
What does 'AI' stand for?,Artificial Intelligence,Artificial Intelligence,0.7529,1,Technology
What type of rock is formed from cooled magma?,Igneous,Metamorphic,0.7493,0,Science
What strait separates Asia from North America?,Bering,Bering,0.7152,1,Geography
What is the speed of light approximately (km/s)?,"300,000","500,000",0.8441,0,Physics
What is the chemical symbol for silver?,Ag,Ag,0.8095,1,Chemistry
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Harper Lee,0.7059,1,Literature
What is the freezing point of water in Celsius?,0,32,0.9686,0,Science
Who wrote 'The Adventures of Huckleberry Finn'?,Mark Twain,Mark Twain,0.8506,1,Literature
What is the value of pi to two decimal places?,3.14,3.14,0.7727,1,Mathematics
What is the boiling point of water at sea level in Celsius?,100,100,0.8666,1,Science
What is the hardest natural substance?,Diamond,Diamond,0.97,1,Science
Which planet has the most moons?,Saturn,Saturn,0.8319,1,Science
What element is liquid at room temperature?,Mercury,Lead,0.97,0,Science
What is the chemical symbol for potassium?,K,K,0.8525,1,Science
What is the value of sin(90 degrees)?,1,0,0.7399,0,Mathematics
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,0.8018,1,Literature
What particle mediates the electromagnetic force?,Photon,Photon,0.8033,1,Physics
Who wrote 'The Odyssey'?,Homer,Homer,0.8297,1,Literature
What type of lens is thicker at the center?,Convex,Concave,0.6774,0,Science
What does RAM stand for?,Random Access Memory,Random Access Memory,0.8664,1,Technology
What is the longest mountain range on land?,Andes,Himalayas,0.8019,0,Geography
What is the main language of the web?,HTML,C++,0.8708,0,Technology
What is the chemical formula for ammonia?,NH3,N2O,0.97,0,Chemistry
What is the square root of 144?,12,11,0.8917,0,Mathematics
What is the process of cell division in somatic cells?,Mitosis,Mitosis,0.7813,1,Science
What is the value of 2^10?,1024,256,0.7875,0,Mathematics
Who wrote 'War and Peace'?,Leo Tolstoy,Anton Chekhov,0.96,0,Literature
What planet has the Great Red Spot?,Jupiter,Neptune,0.97,0,Science
What is the name of Earth's only natural satellite?,Moon,Moon,0.7638,1,Astronomy
What planet is known as the Red Planet?,Mars,Jupiter,0.9429,0,Science
What is the decimal value of hex FF?,255,255,0.8565,1,Technology
What school of thought emphasizes individual existence and freedom?,Existentialism,Existentialism,0.741,1,Philosophy
Which planet rotates on its side?,Uranus,Saturn,0.7207,0,Science
What does CPU stand for?,Central Processing Unit,Central Processing Unit,0.7949,1,Technology
What is the pH of lemon juice?,2,2,0.9059,1,Chemistry
Who led the Indian independence movement?,Mahatma Gandhi,Subhas Chandra Bose,0.97,0,History
What is a comet's tail made of?,Gas and dust,Plasma,0.97,0,Astronomy
What is the DNA shape called?,Double helix,Double helix,0.8828,1,Science
What system fights infection?,Immune,Circulatory,0.8511,0,Biology
What programming paradigm does Python primarily support?,Object-oriented,Object-oriented,0.8389,1,Technology
What year did the Titanic sink?,1912,1910,0.8168,0,History
What is Newton's first law about?,Inertia,Acceleration,0.7153,0,Physics
What is the lightest element?,Hydrogen,Hydrogen,0.8085,1,Chemistry
Who was the first Emperor of Rome?,Augustus,Julius Caesar,0.97,0,History
What is the chemical formula for water?,H2O,H2O,0.8637,1,Science
